TYPE,CONTENT,DESCRIPTION,IS_COLLAPSED,PRIORITY,INDENT,AUTHOR,RESPONSIBLE,DATE,DATE_LANG,TIMEZONE,DURATION,DURATION_UNIT,DEADLINE,DEADLINE_LANG
task,Cổng chất lượng — Deliverable của các dự án,"Input: các mini-project và capstone trong roadmap_final.md.

Project bắt buộc:
- Project #1: Foundation CLI Toolkit.
- Project #2: Retro LED/CLI tooling và hardening.
- Project #3: File/Text Toolkit.
- Project #4: Concurrent Log Analyzer.
- Project #5/Capstone: Go REST API có DB, auth, Docker, deploy, Flutter gọi được.

Output tối thiểu mỗi project:
- README có cách chạy và ví dụ.
- Test xanh bằng go test ./...
- Error message rõ ràng, không panic ở flow bình thường.
- Changelog hoặc release note.
- Retrospective: học được gì, sai ở đâu, refactor nào cố tình chưa làm.

Done criteria: project không chỉ 'chạy được', mà phải có bằng chứng vận hành và tài liệu đủ để quay lại sau này.",,2,1,Ngô (56385805),,,,Asia/Ho_Chi_Minh,,,,
task,Cổng chất lượng — Gap backend phải bù vào Todoist,"Nguồn: C:\learn-go\research\backend_gaps.md.

Vì learngo mạnh về cú pháp Go nhưng thiếu backend production, lộ trình Todoist phải bù đủ các mảng sau:
- HTTP server và routing: net/http, chi, route group.
- JSON API: encoding/json, struct tag, validate input, error response chuẩn.
- Middleware: logging, recover, auth, CORS/rate-limit nếu cần.
- Context: timeout, cancellation, request-scoped value, tránh goroutine leak.
- PostgreSQL: pgx/database/sql, connection pool, raw query, migration.
- Repository pattern: interface nhỏ, implementation postgres, test được.
- Error handling nâng cao: wrapping, sentinel error, errors.Is/As.
- Testing: httptest, table-driven test, integration test.
- Observability: structured logging, metrics/counter, runbook.
- Docker/deploy: Dockerfile multi-stage, docker-compose, Fly.io/Cloud Run/Railway.

Output: Week 12 capstone phải chứng minh các gap này đã được xử lý bằng API chạy thật.",,2,1,Ngô (56385805),,,,Asia/Ho_Chi_Minh,,,,
,,,,,,,,,,,,,,
section,01 • Phase 1 — Core Language Foundations (Weeks 1–3),,True,,,,,,,,,,,
task,Phase 1 — Nền tảng ngôn ngữ Go (Tuần 1-3),"Nguồn: roadmap_final.md + roadmap_phase1.md.

Mục tiêu: nắm chắc cú pháp Go cốt lõi, package/scope, biến, type system, constants, control flow, loop và viết được CLI đầu tiên theo phong cách Go.

Input:
- learngo 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12, 13.
- Ghi chú so sánh Dart -> Go: null vs zero value, var/final/const, package visibility, type conversion, control flow.

Output học tập:
- Cheat sheet go run/build/fmt/vet/mod.
- Multi-package CLI nhỏ.
- 30 snippet về variable/type/constant.
- Foundation CLI Toolkit: convert, stats, inspect.

Dự án pass phase:
- Dự án đánh giá Phase 1 — Go Foundation CLI Suite.
- Phase chỉ pass khi dự án đạt >=85/100 theo rubric passrate.

Done criteria:
- Giải thích được syntax/type/control-flow từ first principles.
- Project #1 có test, README, error UX rõ, không panic ở normal flow.
- Vượt Phase 1 Mastery Gate bằng oral + coding.
- Dự án đánh giá Phase 1 đạt passrate.",,1,1,Ngô (56385805),,,,Asia/Ho_Chi_Minh,,,,
task,"Sprint W1 — Cài đặt, package, biến, printf (04-10/05)","Nguồn: roadmap_final.md, Tuần 1.

Mục tiêu tuần: làm chủ môi trường Go, cấu trúc file/package, scope, biến, zero value, type conversion cơ bản và formatted output.

Input:
- learngo: 01-get-started, 02-write-your-first-program, 03-packages-and-scopes, 04-statements-expressions-comments, 05-write-your-first-library-package, 06-variables, 07-printf.
- So sánh Dart -> Go: null vs zero value, var/final/const, visibility bằng viết hoa, short declaration, explicit conversion.

Output theo tuần:
- Go toolchain chạy ổn: go version, go run, go build, go test, gofmt.
- Command cheatsheet tự viết.
- Multi-package CLI nhỏ có internal package.
- 30 snippet về variable/zero value/shadowing.
- Diagnostics/printf template dùng lại cho các project sau.

Done criteria:
- Giải thích được go run/build/fmt/vet/mod.
- Phân biệt exported/unexported, package scope, file scope, block scope.
- Biết khi nào dùng var, :=, const, _.
- Không tick xong nếu chưa chạy code thật và ghi lại lỗi đã gặp.",,2,2,Ngô (56385805),,,,Asia/Ho_Chi_Minh,,,,
task,"Sprint W2 — Number, type system, constant, if/switch (11-17/05)","Nguồn: roadmap_final.md, Tuần 2.

Mục tiêu tuần: hiểu Go type system đủ sâu để tránh nhầm với Dart/JS/Python; luyện decision logic rõ ràng bằng if/switch.

Input:
- learngo: 08-numbers-and-strings, 09-go-type-system, 10-constants, 11-if, 12-switch, 04-statements-expressions-comments drill.
- Khái niệm chính: named vs unnamed type, underlying type, assignability, explicit conversion, typed/untyped constant, iota, guard clause, switch không condition.

Output:
- Robust convert command có xử lý input sai.
- Finance-like domain model dùng named types.
- Constants package có iota enum/bitmask.
- 12 snippet decision logic từ if cơ bản đến switch nâng cao.
- Type-system notebook viết bằng tiếng Việt.

Done criteria:
- Giải thích được vì sao Go không tự cộng int + float64.
- Nêu được lúc nào dùng const, lúc nào dùng var.
- Biết map lỗi từ type conversion/constant/if-switch vào ví dụ thật.",,2,2,Ngô (56385805),,,,Asia/Ho_Chi_Minh,,,,
task,"Khối W2-A (2 ngày) — Number, string và conversion","Nguồn: learngo 08-numbers-and-strings.

**CHUẨN BỊ (15 phút)**
Đọc learngo 08 trước. Mợ sẵn: `strconv`, `fmt`, `math`.
Folder: `playground/w2/numbers/`

---

**EX A — Overflow & Truncation (30 phút)**
Tạo file: `01_numbers.go`
```go
// 1. int overflow
var x int8 = 127
x++
fmt.Println(x) // ❓ Kết quả là gì? Tại sao?

// 2. float precision
a := 0.1 + 0.2
fmt.Println(a)            // 0.3 không?
fmt.Printf(""%.20f\n"", a) // Thấy gì?

// 3. Truncation vs rounding
x2 := int(2.9)  // ❓ x2 = ?
x3 := int(-2.9) // ❓ x3 = ? (không phải -3!)
fmt.Println(x2, x3)

// 4. Explicit conversion bắt buộc
var i int = 5
var f float64 = 3.14
// fmt.Println(i + f) // Thử: compile error?
// Sửa: phải viết nư thế nào?
```

---

**EX B — String parsing (45 phút)**
Tạo file: `02_parse.go`
```go
import ""strconv""

// Viết hàm parseScore(s string) (float64, error)
// Test với: ""98.5"", ""98,5"", ""abc"", """", ""1000""
func parseScore(s string) (float64, error) {
    // TODO: dùng strconv.ParseFloat
    // Trả lỗi rõ ràng nếu input không hợp lệ
}

// Viết hàm parseAge(s string) (int, error)
// Test với: ""25"", ""-1"", ""abc"", ""999""

// ❓ strconv.Atoi vs strconv.ParseInt — khác nhau gì?
```

---

**EX C — String & byte & rune (30 phút)**
Tạo file: `03_strings.go`
```go
s := ""Hello, Đồng Nài!""
fmt.Println(len(s))          // bytes, không phải ký tự
fmt.Println(len([]rune(s)))  // số ký tự đúng

// Iterate bytes (sai với tiếng Việt)
for i, b := range []byte(s) {
    fmt.Printf(""byte[%d]=%d\n"", i, b)
}
// Iterate runes (đúng)
for i, r := range s {
    fmt.Printf(""rune[%d]=%c (U+%04X)\n"", i, r, r)
}
// ❓ Tham chiếu với Dart: s.length vs len(s) trong Go
```

---

**EX D — Build convert command (60 phút)**
Trong project Foundation CLI (playground/w2/convert/):
```
go run . convert --from=celsius --to=fahrenheit 100
→ 100°C = 212.00°F

go run . convert --from=xxx
→ Error: unknown unit ""xxx""

go run . convert --from=celsius abc
→ Error: invalid temperature ""abc""
```
Youth: dùng `os.Args` hoặc `flag` package. Dùng parseScore() đã viết lại.
❓ fmt.Errorf vs errors.New — khi nào dùng cái nào?

---

**Output:** 4 file + convert command xử lý invalid input không panic.

**Done criteria:** giải thích được vì sao int(2.9) thành 2 và vì sao Go không tự ép kiểu.",,3,3,Ngô (56385805),,,,Asia/Ho_Chi_Minh,,,,
task,Khối W2-B (2 ngày) — Type system Go đọc sâu,"Nguồn: learngo 09-go-type-system.

**CHUẨN BỊ (15 phút)**
Đọc learngo 09 trước. Ghi chú: named type, underlying type, assignability.
Folder: `playground/w2/typesystem/`

---

**EX A — Named Type: tại sao cần nó? (30 phút)**
Tạo file: `01_named_types.go`
```go
// Không dùng named type (dễ nhầm)
func deposit(userID int, amount int) error { ... }
deposit(amount, userID) // Gọi sai thứ tự — compiler không bắt được!

// Dùng named type (an toàn hơn)
type UserID int
type Amount int
func deposit(id UserID, amount Amount) error { ... }
// deposit(Amount(100), UserID(1)) // ❓ Compiler báo gì?
// deposit(UserID(1), Amount(100)) // OK
```
→ Tạo các named types: `UserID`, `Money`, `Celsius`, `Fahrenheit`.
❓ Khi nào KHAI BÁO named type? Khi nào chỉ dùng underlying type?

---

**EX B — Underlying Type & Assignability (45 phút)**
Tạo file: `02_assignability.go`
```go
type Celsius    float64
type Fahrenheit float64

var c Celsius    = 36.5
var f Fahrenheit = 98.6
// c = f        // ❓ Compile error? Tại sao?
// c = Celsius(f) // OK? Tại sao?

// Underlying type = float64 cho cả hai
// Nhưng chúng không tự gán được cho nhau — đây chính xác là mục đích

// Viết hàm: CelsiusToFahrenheit(c Celsius) Fahrenheit
func CelsiusToFahrenheit(c Celsius) Fahrenheit {
    return Fahrenheit(c*9/5 + 32)
}
// ❓ Tại sao kiểu trả về là Fahrenheit chứ không phải float64?
```

---

**EX C — Cố tình tạo compile error (30 phút)**
Tạo file: `03_type_errors.go`
Tạo 5 đoạn code cố ý sai, để compiler dạy bạn:
```go
// 1. Assign named type khác nhau
// 2. Gán untyped constant vượt range
// 3. Add int + float64 không convert
// 4. Assign literal string vào type []byte trực tiếp
// 5. Mạo hiểm: gán nil cho value type không pointer
```
Ghi lại từng message lỗi + giải thích.

---

**EX D — Domain Model Finance (45 phút)**
Tạo file: `04_finance_domain.go`
Thiết kế domain cho bài toán ngân hàng đơn giản:
```go
type AccountID string
type Money     int64   // đơn vị: xu (tánh sai số float)

type Account struct {
    ID      AccountID
    Balance Money
}

func (a *Account) Deposit(amount Money) error {
    if amount <= 0 {
        return fmt.Errorf(""deposit amount must be positive, got %d"", amount)
    }
    a.Balance += amount
    return nil
}
// Test: Deposit(Money(1000)), Deposit(Money(-100)) — check error
```
❓ Tại sao Money là int64 chứ không phải float64?

---

**Output:** 4 file + finance domain model.

**Done criteria:** biết khi nào cần explicit conversion và khi nào assign trực tiếp được.",,3,3,Ngô (56385805),,,,Asia/Ho_Chi_Minh,,,,
task,Khối W2-C (2 ngày) — Constant và compile-time reasoning,"Nguồn: learngo 10-constants.

**CHUẨN BỊ (15 phút)**
Đọc learngo 10 trước. Ghi sự khác giữa const Go và final/const Dart.
Folder: `playground/w2/constants/`

---

**EX A — Typed vs Untyped constant (30 phút)**
Tạo file: `01_typed_untyped.go`
```go
// Untyped constant: ""lỏn hơn"" vì tự adapt type
const Pi = 3.14159
var x float32 = Pi  // OK: Pi adapt thành float32
var y float64 = Pi  // OK: Pi adapt thành float64

// Typed constant: củng nhắc hơn
const TypedPi float64 = 3.14159
var z float32 = TypedPi  // ❓ Compile error? Tại sao?

// Untyped constant vượt range
const HugePrime = 9_999_999_999_999  // OK?
var n int8 = HugePrime               // ❓ Lỗi?
```

---

**EX B — iota Enum (45 phút)**
Tạo file: `02_iota.go`
```go
// Pattern 1: Enum đơn giản
type Weekday int
const (
    Monday Weekday = iota + 1  // bắt đầu từ 1
    Tuesday
    Wednesday
    Thursday
    Friday
    Saturday
    Sunday
)
fmt.Println(Monday, Sunday)  // ❓ 1, 7?

// Pattern 2: Bitflag
type Permission int
const (
    Read    Permission = 1 << iota  // 1
    Write                            // 2
    Execute                          // 4
)
// Test: có thể cộng flags không?
perm := Read | Write
fmt.Println(perm)                          // 3
fmt.Println(perm & Execute != 0)           // false
fmt.Println(perm & Read != 0)              // true
```

---

**EX C — Const vs Var: khi nào dùng cái nào? (20 phút)**
Tạo file: `03_const_vs_var.go`
Cho mỗi trường hợp sau, quyết định const hay var, và giải thích:
```go
// 1. Số Pi = 3.14159
// 2. Phiên bản app = ""1.2.3""
// 3. Thời điểm khởi động (startup time)
// 4. Số max retry = 3
// 5. Config url từ env var
// 6. Map lookup cache
// ❓ Rule của bạn: ""dùng const khi... dùng var khi...""
```

---

**EX D — Constants Package thực tế (30 phút)**
Tạo: `playground/w2/constants/` package
```go
// constants/status.go
package constants

type OrderStatus int
const (
    Pending OrderStatus = iota
    Confirmed
    Shipped
    Delivered
    Cancelled
)

func (s OrderStatus) String() string {
    // TODO: trả về tên đọc được, ví dụ ""Pending""
}
// Test: fmt.Println(Pending) in ra ""Pending"" chứ không in ""0""
```

**Output:** 4 file + constants package với OrderStatus.

**Done criteria:** dùng iota đúng và không biến const thành global config sai mục đích.",,3,3,Ngô (56385805),,,,Asia/Ho_Chi_Minh,,,,
task,Khối W2-D (1 ngày) — if/switch và decision logic,"Nguồn: learngo 11-if + 12-switch.

**CHUẨN BỊ (15 phút)**
Đọc learngo 11 + 12 trước. Ghi nhận: Go switch không tự fallthrough!
Folder: `playground/w2/decisions/`

---

**EX A — if với init statement (20 phút)**
Tạo file: `01_if.go`
```go
// Pattern Go: init statement trong if
if err := doSomething(); err != nil {
    fmt.Println(""error:"", err)
    return
}
// err không tồn tại sau block này — scope nhỏ hơn
// Viết lại WITHOUT init statement và so sánh
// ❓ Cái nào sạch hơn? Tại sao?
```

---

**EX B — Guard Clause refactor (45 phút)**
Tạo file: `02_guard_clause.go`

Code xấu (""arrowhead antipattern""):
```go
func processOrder(o *Order) error {
    if o != nil {
        if o.Items != nil {
            if len(o.Items) > 0 {
                if o.Total > 0 {
                    // code thất biểu chính
                } else {
                    return errors.New(""total must be positive"")
                }
            } else {
                return errors.New(""no items"")
            }
        } else {
            return errors.New(""items is nil"")
        }
    } else {
        return errors.New(""order is nil"")
    }
    return nil
}
```
→ Refactor thành guard clauses. Mỗi guard: 1 điều kiện, 1 `return` sớm.
❓ Rule: “nested if sâu quá 2 cấp — refactor”

---

**EX C — Switch: 4 dạng sử dụng (45 phút)**
Tạo file: `03_switch.go`
```go
// Dạng 1: Switch thường
switch status {
case ""pending"":  ...
case ""active"":   ...
default:         ...
}

// Dạng 2: Switch không có expression (= if/else chain gọn hơn)
switch {
case score >= 90: grade = ""A""
case score >= 80: grade = ""B""
case score >= 70: grade = ""C""
default:         grade = ""D""
}

// Dạng 3: Multiple values một case
switch day {
case ""Sat"", ""Sun"": fmt.Println(""Weekend"")
default:           fmt.Println(""Weekday"")
}

// Dạng 4: fallthrough explicit (hiếm dùng)
switch level {
case ""admin"":
    fmt.Println(""admin access"")
    fallthrough  // vạn chuyển vào case tiếp theo
case ""user"":
    fmt.Println(""user access"")
}
// ❓ So sánh với Dart switch: tự fallthrough và phải có break
```

---

**EX D — 12 Decision Logic Patterns (30 phút)**
Tạo file: `04_patterns.go`
Liệt kê 12 snippet — mỗi snippet 1 pattern khác nhau:
1. Basic if/else
2. If init statement
3. Guard clause
4. Switch string
5. Switch no expression (score range)
6. Switch multiple values
7. Type switch
8. Nested switch (ít khi cần)
9. Switch trong function rải giá trị trả về
10. Early return vs accumulator pattern
11. if-else vs switch khi nào chọn cái nào?
12. Default values pattern (khởi tạo trước, override nếu có điều kiện)

**Output:** 4 file trong `playground/w2/decisions/` + 12 decision patterns.

**Done criteria:** biết Go switch không tự fallthrough; dùng switch không condition thay if-chain khi hợp lý.",,3,3,Ngô (56385805),,,,Asia/Ho_Chi_Minh,,,,
task,Luyện sâu W2 — Statement/expression precision kata,"Nguồn: learngo 04-statements-expressions-comments.

**MỤC TIÊU:** Viết code Go rõ flow, không đưa thói quen Dart/JS/Python vào.
Folder: `playground/w2/kata/`

---

**KATA 1 — Statement vs Expression (20 phút)**
Tạo file: `01_stmt_vs_expr.go`
```go
// Go hầu hết là STATEMENT, không phải expression
// ❌ Không hợp lệ trong Go (khác Python/JS):
// x = y = 5        // chain assignment
// if (x = getVal()) { ... }  // assignment trong condition

// ✅ Go style: rạch ròi
x := getVal()
if x > 0 {
    fmt.Println(x)
}

// ❓ Tại sao Go cấm assignment-as-expression?
// Ghi lại vào comment — lưu ý không chỉ copy Google
```

---

**KATA 2 — Side Effect Audit (30 phút)**
Tạo file: `02_side_effects.go`
Refactor các đoạn code có side effect ẩn:
```go
// ❌ Side effect ẩn: function biến đổi biến ngoài
var total int
func add(x int) { total += x }  // không rõ input/output

// ✅ Pure function: rõ input/output, không side effect
func add(total, x int) int { return total + x }

// ❌ Side effect ẩn: modify slice argument
func clear(s []int) {
    for i := range s { s[i] = 0 }  // caller bị thay đổi!
}

// ❓ Viết phần 'sau' cho từng trường hợp trên
// ❓ Khi nào side effect là chấp nhập được?
```

---

**KATA 3 — Block Scope Drill (20 phút)**
Tạo file: `03_scope.go`
Dự đoán output rồi mới chạy:
```go
x := 1
{
    x := 2      // outer x không đổi
    {
        x := 3  // cả outer cũng không đổi
        fmt.Println(x)  // 3
    }
    fmt.Println(x)  // 2
}
fmt.Println(x)  // 1

// Biến được khai báo trong if block không thấy từ ngoài:
if n := compute(); n > 0 {
    fmt.Println(n)  // OK
}
// fmt.Println(n)  // ❌ compile error — out of scope
```

---

**KATA 4 — Comment Convention (20 phút)**
Tạo file: `04_comments.go`
```go
// Package comment — trước package declaration:
// Package validate provides input validation helpers.
package validate

// Function doc comment — ngay trước func, bắt đầu bằng tên hàm:
// NonEmpty returns an error if s is the empty string.
func NonEmpty(s string) error { ... }

// Không làm:
// function works good (comment vô nghĩa)
// FIXME: TODO: cần xử lý (trong code ship)

// Viết 3 function với doc comment đúng go convention
// Kiểm tra: go doc ./validate tạo ra docs đẹp không?
```

---

**Output:** 4 kata file + notes về các pattern Go-specific.

**Done criteria:** code rõ flow; không lạm dụng expression/side effect kiểu ngôn ngữ khác.",,3,3,Ngô (56385805),,,,Asia/Ho_Chi_Minh,,,,
